receiver_light,receiver_acceleration,receiver_angular_velocity,receiver_temperature,receiver_humidity,rssi,sender_light,sender_acceleration,sender_angular_velocity,sender_temperature,sender_humidity,receiver_id,sender_id0,0,0,0,0,-55,305344,102,227,3513,6154,27776,9216
90528,103,8644,3241,7402,-56,337728,111,4266,3188,6743,27776,9216
90528,103,8644,3241,7402,-63,0,73,12122,3197,7709,27776,8453
115872,108,10013,3239,7417,-50,321984,97,5184,3179,6756,27776,9216
115872,108,10013,3239,7417,-64,0,131,17816,3199,7697,27776,8453
148080,102,5817,3238,7429,-53,604672,97,3362,3172,6773,27776,9216
148080,102,5817,3238,7429,-68,0,99,16162,3204,7687,27776,8453
160864,107,7591,3232,7441,-54,976511,109,2207,3180,6792,27776,9216
160864,107,7591,3232,7441,-57,0,110,10098,3207,7675,27776,8453
165984,106,5965,3223,7455,-46,988863,103,3528,3184,6811,27776,9216
165984,106,5965,3223,7455,-58,0,103,13549,3209,7665,27776,8453
173376,94,8558,3217,7474,-48,1021568,97,3325,3181,6823,27776,9216
173376,94,8558,3217,7474,-57,0,102,6873,3211,7653,27776,8453
173280,83,3700,3210,7494,-57,0,93,5258,3214,7638,27776,8453
164896,99,5866,3204,7514,-54,980095,113,12856,3186,6857,27776,9216
164896,99,5866,3204,7514,-70,0,98,14048,3218,7626,27776,8453
152416,95,8069,3206,7531,-53,1002431,95,10775,3185,6870,27776,9216
152416,95,8069,3206,7531,-67,0,80,8883,3220,7617,27776,8453
164480,89,9911,3203,7550,-67,819136,101,14002,3185,6879,27776,9216
187136,122,11434,3209,7570,-57,554495,105,9212,3180,6892,27776,9216
187136,122,11434,3209,7570,-56,0,70,10499,3227,7597,27776,8453
183168,84,11437,3216,7587,-60,616256,112,3095,3174,6901,27776,9216
183168,84,11437,3216,7587,-56,0,125,16704,3229,7586,27776,8453
174688,83,7802,3224,7604,-51,688896,103,3817,3182,6915,27776,9216
174688,83,7802,3224,7604,-57,0,90,16623,3233,7576,27776,8453
168320,97,8801,3224,7617,-53,713984,106,5119,3190,6930,27776,9216
168320,97,8801,3224,7617,-62,0,101,15326,3233,7564,27776,8453
175136,102,7702,3222,7626,-52,714112,97,3210,3194,6943,27776,9216
175136,102,7702,3222,7626,-66,2,94,13844,3238,7557,27776,8453
191552,107,7380,3216,7628,-54,778624,121,10266,3197,6950,27776,9216
191552,107,7380,3216,7628,-81,4,129,7978,3241,7547,27776,8453
190815,99,11529,3208,7631,-46,774080,102,6367,3196,6955,27776,9216
190815,99,11529,3208,7631,-58,8,130,10703,3242,7539,27776,8453
190592,117,10753,3209,7636,-60,638848,102,5997,3188,6959,27776,9216
201408,105,5308,3213,7641,-66,504512,112,4668,3180,6959,27776,9216
201408,105,5308,3213,7641,-64,0,102,10364,3248,7515,27776,8453
179744,124,9386,3204,7649,-56,529088,107,6129,3170,6959,27776,9216
179744,124,9386,3204,7649,-77,0,113,7147,3249,7507,27776,8453
170112,96,2649,3184,7652,-52,699520,98,8643,3170,6966,27776,9216
170112,96,2649,3184,7652,-70,0,105,19081,3253,7496,27776,8453
160544,105,4171,3174,7663,-58,750464,90,5400,3171,6974,27776,9216
160544,105,4171,3174,7663,-71,2,105,11650,3256,7492,27776,8453
157472,100,5080,3165,7673,-60,720448,126,4688,3166,6981,27776,9216
166432,102,5167,3163,7683,-53,827007,98,3404,3169,6989,27776,9216
166432,102,5167,3163,7683,-64,14,90,14351,3259,7472,27776,8453
201056,96,6056,3169,7683,-48,940096,91,4454,3168,6998,27776,9216
201056,96,6056,3169,7683,-75,16,97,3562,3262,7462,27776,8453
166464,107,4947,3166,7689,-63,868288,115,3636,3169,7005,27776,9216
166464,107,4947,3166,7689,-69,20,105,10568,3265,7457,27776,8453
167264,98,4393,3165,7694,-62,896575,100,3959,3165,7005,27776,9216
167264,98,4393,3165,7694,-57,18,100,16001,3268,7450,27776,8453
204703,98,6336,3161,7704,-56,1037375,102,7808,3169,7008,27776,9216
204703,98,6336,3161,7704,-60,20,103,5835,3271,7443,27776,8453
331584,101,4689,3161,7717,-71,1382528,111,8133,3174,7005,27776,9216
331584,101,4689,3161,7717,-53,26,111,7154,3273,7433,27776,8453
319904,112,4964,3168,7728,-60,1437440,92,3325,3170,6995,27776,9216
319904,112,4964,3168,7728,-52,18,99,4011,3276,7425,27776,8453
239583,105,4054,3166,7731,-56,1516544,103,894,3169,6989,27776,9216
239583,105,4054,3166,7731,-57,6,91,10363,3279,7415,27776,8453
263392,96,3295,3169,7738,-57,1468032,106,1653,3170,6979,27776,9216
263392,96,3295,3169,7738,-53,14,95,3942,3282,7408,27776,8453
279776,110,5709,3173,7743,-52,1420416,105,3762,3174,6971,27776,9216
358400,99,3292,3175,7744,-63,1410432,107,1978,3180,6964,27776,9216
358400,99,3292,3175,7744,-54,10,101,8087,3286,7395,27776,8453
374528,101,612,3179,7745,-51,1427712,97,1095,3184,6959,27776,9216
374528,101,612,3179,7745,-57,10,99,2909,3289,7389,27776,8453
376256,102,1208,3183,7735,-55,1454848,97,1425,3185,6950,27776,9216
376256,102,1208,3183,7735,-55,0,98,1084,3293,7388,27776,8453
364480,106,3880,3187,7735,-56,1449600,103,2392,3186,6943,27776,9216
364480,106,3880,3187,7735,-54,4,90,6001,3295,7378,27776,8453
262144,116,13451,3185,7735,-53,1451904,99,2517,3191,6938,27776,9216
262144,116,13451,3185,7735,-61,4,101,5059,3298,7368,27776,8453
424735,98,2852,3187,7732,-56,1467648,96,3652,3195,6933,27776,9216
424735,98,2852,3187,7732,-55,12,96,8163,3300,7361,27776,8453
